block_datetime,value
2016-09-29,2.38974223915921e+23
2016-09-30,9.129573866649388e+23
2016-10-01,8.235955862334273e+23
2016-10-02,1.7992310948807168e+24
2016-10-03,6.104483333152568e+23
2016-10-04,7.022140495037729e+23
2016-10-05,1.040469260403574e+24
2016-10-06,9.316429031123389e+23
2016-10-07,9.360933696202672e+23
2016-10-08,1.3323629979760878e+23
