block_datetime,value
2016-04-16,1.1557094407888072e+22
2016-04-17,8.24811649719974e+23
2016-04-18,6.385755220348821e+23
2016-04-19,4.086174080855248e+23
2016-04-20,6.747157760337664e+23
2016-04-21,4.733415003906578e+23
2016-04-22,7.542791965927597e+23
2016-04-23,1.0141636194503538e+24
2016-04-24,3.7528172660882175e+23
2016-04-25,9.804689857024953e+22
