block_datetime,value
2015-12-26,1.2659776390880416e+23
2015-12-27,7.939538393075844e+22
2015-12-28,4.419525803353329e+23
2015-12-29,2.8625244020724092e+23
2015-12-30,2.1518737229840113e+23
2015-12-31,3.895470361714912e+23
2016-01-01,3.445477566296311e+23
2016-01-02,2.5924000999005726e+23
2016-01-03,3.708199934979672e+23
2016-01-04,1.5412547193275417e+23
2016-01-05,2.0285474022863457e+23
