block_datetime,value
2016-01-15,9.06816967099518e+23
2016-01-16,5.712180307613675e+23
2016-01-17,3.709592685284451e+23
2016-01-18,2.2659384968701516e+24
2016-01-19,1.2407256094941314e+24
2016-01-20,6.002173158029324e+23
2016-01-21,4.950191378169503e+23
2016-01-22,9.190247661309836e+23
2016-01-23,1.1438537250894981e+24
2016-01-24,1.9206596335564003e+24
2016-01-25,8.026754318857835e+22
