block_datetime,value
2016-10-16,1.2020660246272297e+24
2016-10-17,1.8346268534859344e+24
2016-10-18,2.8634014454111594e+24
2016-10-19,1.0611134312086591e+24
2016-10-20,7.266308204311607e+23
2016-10-21,6.201499232159629e+23
2016-10-22,5.018496035354828e+23
2016-10-23,4.328752366215905e+23
2016-10-24,2.615682968436989e+23
